Date,Close
2012-12-31,37.68
2013-01-02,38.34
2013-01-03,37.75
2013-01-04,38.13
2013-01-07,37.94
2013-01-08,38.14
2013-01-09,38.66
2013-01-10,38.62
2013-01-11,38.09
2013-01-14,38.16
2013-01-15,38.15
2013-01-16,37.88
2013-01-17,37.73
2013-01-18,37.98
2013-01-22,37.95
2013-01-23,38.25
2013-01-24,38.11
2013-01-25,38.32
2013-01-28,38.24
2013-01-29,38.52
2013-01-30,37.94
2013-01-31,37.83
2013-02-01,38.34
2013-02-04,38.1
2013-02-05,38.51
2013-02-06,38.4
2013-02-07,38.07
2013-02-08,39.12
2013-02-11,38.64
2013-02-12,38.89
2013-02-13,38.81
2013-02-14,38.61
2013-02-15,38.63
2013-02-19,38.99
2013-02-20,38.77
2013-02-21,38.34
2013-02-22,38.55
2013-02-25,38.11
2013-02-26,38.59
2013-02-27,39.6
2013-02-28,39.31
2013-03-01,39.83
2013-03-04,40.46
2013-03-05,41.46
2013-03-06,41.29
2013-03-07,41.5
2013-03-08,41.5
2013-03-11,41.48
2013-03-12,41.4
2013-03-13,41.59
2013-03-14,41.62
2013-03-15,41.38
2013-03-18,41.06
2013-03-19,40.75
2013-03-20,42.46
2013-03-21,42.18
2013-03-22,42.97
2013-03-25,42.49
2013-03-26,42.75
2013-03-27,42.66
2013-03-28,43.52
2013-04-01,43.38
2013-04-02,43.85
2013-04-03,43.7
2013-04-04,44.21
2013-04-05,43.38
2013-04-08,43.79
2013-04-09,44.17
2013-04-10,44.7
2013-04-11,45.21
2013-04-12,45.03
2013-04-15,44.6
2013-04-16,45.28
2013-04-17,44.9
2013-04-18,44.46
2013-04-19,44.74
2013-04-22,44.53
2013-04-23,44.87
2013-04-24,44.67
2013-04-25,45.05
2013-04-26,44.91
2013-04-29,45.06
2013-04-30,45.08
2013-05-01,44.71
2013-05-02,45.69
2013-05-03,47.01
2013-05-06,46.49
2013-05-07,45.6
2013-05-08,45.32
2013-05-09,43.97
2013-05-10,44.02
2013-05-13,43.61
2013-05-14,44.04
2013-05-15,45.07
2013-05-16,44.56
2013-05-17,44.61
2013-05-20,44.29
2013-05-21,44.02
2013-05-22,43.17
2013-05-23,42.77
2013-05-24,42.43
2013-05-28,42.91
2013-05-29,42.6
2013-05-30,43.19
2013-05-31,42.91
2013-06-03,43.46
2013-06-04,44.39
2013-06-05,43.84
2013-06-06,43.57
2013-06-07,44.12
2013-06-10,44.09
2013-06-11,43.12
2013-06-12,42.72
2013-06-13,43.3
2013-06-14,42.84
2013-06-17,43.39
2013-06-18,43.36
2013-06-19,45.78
2013-06-20,44.9
2013-06-21,44.77
2013-06-24,43.6
2013-06-25,44.37
2013-06-26,45.68
2013-06-27,45.93
2013-06-28,45.56
2013-07-01,46.24
2013-07-02,46.03
2013-07-03,46.42
2013-07-05,47.0
2013-07-08,46.63
2013-07-09,47.26
2013-07-10,47.25
